DNB_dataset,title,UB,year,GND_person,person,GND_author,author,sachgruppen
891704094,Selbstbetrachtungen : [aus dem Griechischen] / Marcus Aurelius Antoninus. [Übers. von Albert Wittstock],UB 424,1989.0,118577468,"Mark Aurel, Römisches Reich, Kaiser (Verfasser) + Wittstock, Albert (Übersetzer)",118577468,"Mark Aurel, Römisches Reich, Kaiser ",10 Philosophie
891052720,SelberlebensbeschreibungKonjektural-Biographie / Jean Paul. Mit e. Nachw. von Ralph-Rainer Wuthenow,UB 7940,1989.0,118557211,Jean Paul (Verfasser),118557211,Jean Paul ,53 Deutsche Sprach- und Literaturwissenschaft
890470154,Sechs Personen suchen einen Autor / Luigi Pirandello. Aus d. Ital. übertr. von Georg Richert. Mit e. Nachw. von Siegfried Melchinger,UB 8765,1989.0,118594567,"Pirandello, Luigi (Verfasser)",118594567,"Pirandello, Luigi ",59 Belletristik
891255788,Science-fiction / für d. Sekundarstufe hrsg. von Peter Nusser,UB 15015,1989.0,,,,,23 Schulbücher
890679924,Schwere Zeiten : für diese Zeiten / Charles Dickens. Aus d. Engl. übers. mit Anm. u. Nachw. von Ulrike Jung-Grell,UB 1308,1989.0,118525239,"Dickens, Charles (Verfasser)",118525239,"Dickens, Charles ",820 Englische Literatur + B Belletristik
890679568,Schriften zur Literatur / Johann Christoph Gottsched. Hrsg. von Horst Steinmetz,UB 9361,1989.0,118541013,"Gottsched, Johann Christoph (Verfasser)",118541013,"Gottsched, Johann Christoph ",53 Deutsche Sprach- und Literaturwissenschaft
900334908,Schriften und Briefe / Albrecht Dürer. [Hrsg. von Ernst Ullmann],UB 26,1989.0,11852786X,"Dürer, Albrecht (Verfasser)",11852786X,"Dürer, Albrecht ",46 Bildende Kunst
900055189,Schöne Elise : Geschichten / Hermann Kant,UB 996,1989.0,118559788,"Kant, Hermann (Verfasser)",118559788,"Kant, Hermann ",59 Belletristik
890492506,Schiffstagebuch : [aus d. Span.] / Christoph Columbus. [Übers. von Roland Erb. Nachw. von Jürgen Hell],UB 840,1989.0,118564994 + 1046245864,"Colombo, Cristoforo (Verfasser) + Erb, Roland (Übersetzer)",118564994,"Colombo, Cristoforo ","61 Geographie, Heimat- und Länderkunde, Reisen + 63 Geschichte und Historische Hilfswissenschaften"
890470227,"Scherz, Satire, Ironie und tiefere Bedeutung : ein Lustspiel in 3 Aufzügen / Christian Dietrich Grabbe. Nachw. u. Anm. von Alfred Bergmann",UB 397,1989.0,118541102,"Grabbe, Christian Dietrich (Verfasser)",118541102,"Grabbe, Christian Dietrich ",59 Belletristik
890806810,Schach : eine kurze Einführung in seine Regeln und Feinheiten / Jacques Mieses,UB 7204,1989.0,118582305,"Mieses, Jacques (Verfasser)",118582305,"Mieses, Jacques ","50 Sport, Spiele"
900821477,Satirische Texte : für die Sekundarstufe / hrsg. von Norbert Feinäugle,UB 9525,1989.0,,,,,23 Schulbücher
891330534,"Satiren, Farcen und Hanswurstiaden / Johann Wolfgang Goethe. Hrsg. von Martin Stern",UB 8565,1989.0,118540238,"Goethe, Johann Wolfgang von (Verfasser)",118540238,"Goethe, Johann Wolfgang von ",59 Belletristik
891347445,Romeo und Julia auf dem Dorfe : Novelle / Gottfried Keller. Mit e. Nachw. von Konrad Nussbächer,UB 6172,1989.0,11856109X,"Keller, Gottfried (Verfasser)",11856109X,"Keller, Gottfried ",59 Belletristik
891469397,Romeo und Julia : Drama ; [aus dem Englischen] / William Shakespeare. [Übers. von August Wilhelm Schlegel],UB 5,1989.0,118613723 + 118607960,"Shakespeare, William (Verfasser) + Schlegel, August Wilhelm von (Übersetzer)",118613723,"Shakespeare, William ",59 Belletristik
890634971,Rockmusik : zur Ästhetik und Soziologie eines Massenmediums / Peter Wicke,UB 1197,1989.0,120589761,"Wicke, Peter (Verfasser)",120589761,"Wicke, Peter ",48 Musik
890672954,"Rigoletto : Oper in 3 Aufzügen / Giuseppe Verdi. Dichtung nach Victor Hugos ""Le roi s'amuse"" von Francesco Maria Piave. Dt. Übers. von J. Chr. Grünbaum. Neu hrsg. von Wilhelm Zentner",UB 4256,1989.0,118626523 + 119110369,"Verdi, Giuseppe (Verfasser)",118626523,"Verdi, Giuseppe ","49 Theater, Tanz, Film + 59 Belletristik"
900252286,RheinsbergSchloss Gripsholm / Kurt Tucholsky,UB 1323,1989.0,11862444X,"Tucholsky, Kurt (Verfasser)",11862444X,"Tucholsky, Kurt ",59 Belletristik
900185015,Renée Mauperin / Edmond de Goncourt ; Jules de Goncourt. [Übers. u. hrsg. von Elisabeth Kuhs],UB 8625,1989.0,118540688 + 118540696,"Goncourt, Edmond de (Verfasser) + Goncourt, Jules de (Verfasser) + Kuhs, Elisabeth (Übersetzer)",118540688 + 118540696,"Goncourt, Edmond de  + Goncourt, Jules de ",59 Belletristik
900230592,"Cicero, Marcus Tullius: Reden gegen VerresTeil: 2., Zweite Rede gegen C. Verres. - Buch 1",UB 4014,1989.0,,,,,
890806861,Reclams Namenbuch : deutsche und fremde Vornamen nach Herkunft und Bedeutung erklärt / hrsg. von Friedhelm Debus,UB 7399,1989.0,115420118,"Debus, Friedhelm (Herausgeber)",,,"53 Deutsche Sprach- und Literaturwissenschaft + 03 Nachschlagewerke, Bibliographien"
900080124,Reclams Musicalführer / von Charles B. Axton u. Otto Zehnder,UB 10358,1989.0,11568462X + 115684646,"Axton, Charles B. (Verfasser) + Zehnder, Otto (Verfasser)",11568462X + 115684646,"Axton, Charles B.  + Zehnder, Otto ","49 Theater, Tanz, Film + 48 Musik"
