GND,Reclam_Autor,Reclam_tokens_Summe,Reclam_types_Summe,Reclam_UBs
https://d-nb.info/gnd/118546937,"Hauptmann, Gerhart ",12.0,8.0,UB 6617 + UB 8362 + UB 6617 + UB 6617 + UB 19017 + UB 19364 + UB 18873 + UB 19165 + UB 19363 + UB 19483 + UB 19017 + UB 18873
https://d-nb.info/gnd/118709305,"Hawthorne, Nathaniel ",1.0,1.0,UB 9454
https://d-nb.info/gnd/118773569,"Hazlitt, William ",1.0,1.0,UB 19442
https://d-nb.info/gnd/118547445,"Hebbel, Friedrich ",7.0,4.0,UB 3173 + UB 4268 + UB 3173 + UB 3161 + UB 3171 + UB 4268 + UB 3173
https://d-nb.info/gnd/118547453,"Hebel, Johann Peter ",1.0,1.0,UB 19045
https://d-nb.info/gnd/122127153,"Hegers, Jane ",1.0,1.0,UB 1683
https://d-nb.info/gnd/118548018,"Heine, Heinrich ",18.0,12.0,UB 2253 + UB 2221 + UB 2231 + UB 18437 + UB 18394 + UB 2350 + UB 18800 + UB 18974 + UB 19136 + UB 2221 + UB 18394 + UB 2253 + UB 2231 + UB 8988 + UB 14329 + UB 18394 + UB 14344 + UB 2253
https://d-nb.info/gnd/118709747,"Heinrich, der Gleißner ",1.0,1.0,UB 14220
https://d-nb.info/gnd/118709836,"Heinrich, von Morungen ",1.0,1.0,UB 9797
https://d-nb.info/gnd/11854845X,"Heinrich, von Veldeke ",1.0,1.0,UB 8303
https://d-nb.info/gnd/118549030,"Hemingway, Ernest ",4.0,3.0,UB 9075 + UB 9120 + UB 7628 + UB 7628
https://d-nb.info/gnd/124118844,"Herman, Mark ",1.0,1.0,UB 9102
https://d-nb.info/gnd/118550292,Hesiodus ,1.0,1.0,UB 9445
https://d-nb.info/gnd/11855042X,"Hesse, Hermann ",2.0,2.0,UB 7557 + UB 9832
https://d-nb.info/gnd/118550683,"Heym, Georg ",2.0,2.0,UB 18457 + UB 18581
https://d-nb.info/gnd/118550772,"Heyse, Paul ",2.0,1.0,UB 8301 + UB 8301
https://d-nb.info/gnd/123622166,"Higgins, Colin ",1.0,1.0,UB 9122
https://d-nb.info/gnd/11855087X,"Highsmith, Patricia ",3.0,2.0,UB 9262 + UB 9145 + UB 9145
https://d-nb.info/gnd/118551736,"Hochhuth, Rolf ",3.0,2.0,UB 18112 + UB 8346 + UB 18112
https://d-nb.info/gnd/122841506,"Hoerschelmann, Fred von ",4.0,1.0,UB 8762 + UB 8762 + UB 8762 + UB 8762
https://d-nb.info/gnd/118552465,"Hoffmann, E. T. A. ",39.0,26.0,UB 153 + UB 192 + UB 5623 + UB 25 + UB 230 + UB 230 + UB 230 + UB 18385 + UB 18503 + UB 154 + UB 192 + UB 7953 + UB 18503 + UB 153 + UB 306 + UB 25 + UB 8991 + UB 230 + UB 154 + UB 18385 + UB 231 + UB 25 + UB 5274 + UB 25 + UB 153 + UB 19484 + UB 19509 + UB 14067 + UB 14222 + UB 19652 + UB 14073 + UB 14078 + UB 230 + UB 14371 + UB 11403 + UB 14050 + UB 11404 + UB 11402 + UB 11401
https://d-nb.info/gnd/11855249X,"Hoffmann, Heinrich ",3.0,3.0,UB 9355 + UB 8983 + UB 18569
https://d-nb.info/gnd/118706187,"Hofmann von Hofmannswaldau, Christian ",1.0,1.0,UB 8889
https://d-nb.info/gnd/118552759,"Hofmannsthal, Hugo von ",20.0,11.0,UB 18039 + UB 18038 + UB 18037 + UB 18036 + UB 18035 + UB 18042 + UB 18041 + UB 18040 + UB 8800 + UB 18113 + UB 18353 + UB 18038 + UB 18039 + UB 18113 + UB 18037 + UB 18035 + UB 18353 + UB 18040 + UB 18039 + UB 18035
https://d-nb.info/gnd/118552864,"Hohl, Ludwig ",1.0,1.0,UB 14402
https://d-nb.info/gnd/118774808,"Holtzwart, Matthäus ",1.0,1.0,UB 18464
https://d-nb.info/gnd/118607871,"Holz, Arno  + Schlaf, Johannes ",4.0,4.0,UB 8987 + UB 8853 + UB 19656 + UB 19655
https://d-nb.info/gnd/118553216,"Holz, Arno  + Schlaf, Johannes ",4.0,4.0,UB 8987 + UB 8853 + UB 19656 + UB 19655
https://d-nb.info/gnd/11855333X,Homerus ,9.0,7.0,UB 18298 + UB 18299 + UB 18640 + UB 18640 + UB 280 + UB 249 + UB 18298 + UB 14392 + UB 14236
https://d-nb.info/gnd/118553569,"Horatius Flaccus, Quintus ",3.0,2.0,UB 18466 + UB 9905 + UB 18466
https://d-nb.info/gnd/118553739,"Horváth, Ödön von ",10.0,5.0,UB 18614 + UB 18612 + UB 18667 + UB 18612 + UB 18612 + UB 18612 + UB 18667 + UB 19682 + UB 14380 + UB 18612
https://d-nb.info/gnd/121383261,"Houellebecq, Michel ",3.0,2.0,UB 9091 + UB 9091 + UB 19922
https://d-nb.info/gnd/118553941,"Hrotsvita, Gandeshemensis ",1.0,1.0,UB 7524
https://d-nb.info/gnd/118555081,"Huxley, Aldous ",1.0,1.0,UB 9284
https://d-nb.info/gnd/118555111,"Huysmans, Joris-Karl ",1.0,1.0,UB 8984
