;ID;GND-Nummer;Eintrag;Seiten;Eintragsart;Anzahl_Seiten;Kommentar;Anzahl_Seiten_neu
536;beutin_per0541;119015021;Herburger, Günter;648, 729,627;Autor;3;;3
537;beutin_per0542;118549553;Herder, Johann Gottfried;"75, 90, 155, 161 , 179,
181, 194 , 197, 208, 212,
218, 236";Autor;12;;12
538;beutin_per0543;118710737;Hergot, Hans;66;Autor;1;;1
539;beutin_per0544;11854960X;Herhaus, Ernst;628;Autor;1;;1
540;beutin_per0545;118703706;Hermann, Georg;411;Autor;1;;1
541;beutin_per0546;120448041;Hermann, Judith;689, 730;Autor;2;;2
542;beutin_per0547;118549812;Hermlin, Stephan;"499, 527, 531, 536 , 561 ,
571, 573, 655,486";Autor;9;;9
543;beutin_per0548;118550128;Herwegh, Georg;"261, 268, 270–274, 277 ,
280, 290, 292, 324, 326,
338, 433, 455,255, 257";Autor;15;;18
544;beutin_per0549;118703951;Herzfelde, Wieland;472, 486,460;Autor;3;;3
545;beutin_per0550;118550152;Herz, Henriette;213 f., 219;Autor;2;;3
546;beutin_per0551;118703986;Hesekiel, Georg;337;Autor;1;;1
547;beutin_per0552;11855042X;Hesse, Hermann;415 , 504,364, 411;Autor;4;;4
548;beutin_per0553;115452540;Hettche, Thomas;754,687, 690;Autor;3;;3
549;beutin_per0554;118550578;Heuss, Theodor;396, 399;Autor;2;;2
550;beutin_per0555;118550683;Heym, Georg;377, 431 , 529, 539, 562,370 f., 373;Autor;7;;8
551;beutin_per0556;118550691;Heym, Stefan;532, 539, 559, 561, 571, 671 ,486, 521 f.;Autor;8;;9
552;beutin_per0557;118550748;Heynicke, Kurt;443, 464;Autor;2;;2
553;beutin_per0558;118550772;Heyse, Paul;310, 339,252, 295 f.;Autor;4;;5
554;beutin_per0559;118550853;Hieronymus;74;Autor;1;;1
555;beutin_per0560;119076993;Hilbig, Wolfgang;578, 580, 582, 685 , 700, 739,522, 561;Autor;8;;8
556;beutin_per0563;118550993;Hildegard von Bingen;60;Autor;1;;1
557;beutin_per0564;118551019;Hildesheimer, Wolfgang;613, 665;Autor;2;;2
558;beutin_per0565;118551108;Hille, Peter;296;Autor;1;;1
559;beutin_per0566;118551132;Hiller, Kurt;370 f., 467;Autor;2;;3
560;beutin_per0567;11855137X;Hippel, Theodor Gottlieb;191;Autor;1;;1
561;beutin_per0568;118551833;Höch, Hannah;387;Autor;1;;1
562;beutin_per0569;118551736;Hochhuth, Rolf;620, 740,615 f., 618;Autor;4;;5
563;beutin_per0570;116922346;Hocke, Gustav René;485;Autor;1;;1
564;beutin_per0571;129212822;Hock, Theobald;111;Autor;1;;1
565;beutin_per0572;11876442X;Hoddis, Jakob van;375–378, 385,370 f.;Autor;4;;7
