GND,Lovelybooks_Status,Lovelybooks_Autor,Lovelybooks_Stars,Lovelybooks_Bewertungen,Lovelybooks_Bibliotheken,Lovelybooks_Merkzettel,Lovelybooks_aktuell_gelesen,Lovelybooks_gefolgt,GND_Autor
https://d-nb.info/gnd/116353244,page_not_found,,,,,,,,"Arpe, Peter Friedrich"
https://d-nb.info/gnd/11850441X,page_found,Fernando Arrabal,4.0,1.0,,,,,"Arrabal, Fernando"
https://d-nb.info/gnd/116353333,page_not_found,,,,,,,,"Arresto, Christlieb Georg Heinrich"
https://d-nb.info/gnd/118504495,page_found,Antonin Artaud,3.9,10.0,19.0,1.0,,,"Artaud, Antonin"
https://d-nb.info/gnd/13258106X,page_not_found,,,,,,,,"Artis, Gabriel d'"
https://d-nb.info/gnd/118504533,page_found,H. C. Artmann,4.3,89.0,167.0,8.0,5.0,,"Artmann, H. C."
https://d-nb.info/gnd/124252362,page_not_found,,,,,,,,"Artner, Therese von"
https://d-nb.info/gnd/118504568,page_not_found,,,,,,,,"Arx, Cäsar von"
https://d-nb.info/gnd/118646036,page_not_found,,,,,,,,"Asch, Sholem"
https://d-nb.info/gnd/118646052,page_not_found,,,,,,,,"Ascher, Saul"
https://d-nb.info/gnd/120459469,page_found,Katrin Askan,3.8,6.0,10.0,,,,"Askan, Katrin"
https://d-nb.info/gnd/116361441,page_not_found,,,,,,,,"Asmodi, Herbert"
https://d-nb.info/gnd/120430991,page_not_found,,,,,,,,"Asscher-Pinkhof, Clara"
https://d-nb.info/gnd/137053096,page_not_found,,,,,,,,"Assig, Hans von"
https://d-nb.info/gnd/102182094,page_not_found,,,,,,,,"Assing, David Assur"
https://d-nb.info/gnd/119376377,page_not_found,,,,,,,,"Assing, Ludmilla"
https://d-nb.info/gnd/116371641,page_not_found,,,,,,,,"Assing, Rosa Maria"
https://d-nb.info/gnd/11805077X,page_found,Jan Assmann,4.4,97.0,173.0,18.0,8.0,,"Assmann, Jan"
https://d-nb.info/gnd/118650742,page_not_found,,,,,,,,"Ast, Friedrich"
https://d-nb.info/gnd/1158087276,page_found,Arnfrid Astel,,,,,,,"Astel, Arnfrid"
https://d-nb.info/gnd/118650769,page_found,Louise Aston,,,,,,,"Aston, Louise"
https://d-nb.info/gnd/119500892,page_found,Cyrus Atabay,,,,,,,"Atabay, Cyrus"
https://d-nb.info/gnd/100018858,page_not_found,,,,,,,,"Athanasius, von Dillingen"
https://d-nb.info/gnd/118646168,page_found,Margaret Atwood,4.2,2451.0,2723.0,535.0,106.0,53.0,"Atwood, Margaret"
https://d-nb.info/gnd/116211946,page_found,Victor Auburtin,4.0,1.0,,,,,"Auburtin, Victor"
https://d-nb.info/gnd/131876309,page_not_found,,,,,,,,"Audorf, Ernst Jacob von"
https://d-nb.info/gnd/126147701,page_not_found,,,,,,,,"Audorf, Jakob"
