,GND,GND_name,GND_gender,GND_birth,GND_death,GND_occupation,GND_country
6279,118937197,"Amery, Carl",Männlich,1922-04-09,2005-05-24,Schriftsteller + Bibliotheksdirektor + Drehbuchautor + Schauspieler + Librettist,Deutschland
6280,118937251,"Schlesinger, Klaus",Männlich,1937-01-09,2001-05-11,Schriftsteller + Drehbuchautor + Schriftsteller,Deutschland
6281,11893743X,"Pastorius, Melchior Adam",Männlich,1624-09-22,1702-02-04,Jurist + Bürgermeister + Schriftsteller + Reiseschriftsteller + Lyriker,Deutschland
6282,11893838X,"Schwarze, Hans Dieter",Männlich,1926-08-30,1994-05-07,Schriftsteller + Schauspieler + Regisseur + Drehbuchautor + Dramaturg + Theaterdirektor,Deutschland
6283,118938673,"Meissner, Leopold F.",Männlich,1835-06-10,1895-04-29,Polizeibeamter + Schriftsteller,Deutschland + Österreich
6284,118939599,"Printz, Wolfgang Caspar",Männlich,1641-10-10,1717-10-13,Komponist + Schriftsteller + Musikschriftsteller + Kapellmeister + Kantor,Deutschland
6285,118939823,"Warneck, Gustav",Männlich,1834-03-06,1910-12-26,Theologe + Evangelischer Theologe,Deutschland
6286,118942387,"Pabst, Georg W.",Männlich,1885-08-14,1967-05-29,Filmregisseur + Regisseur + Schauspieler,Österreich + Deutschland
6287,118942921,"Kieseritzky, Ingomar von",Männlich,1944-02-21,2019-05-05,Schriftsteller,Deutschland
6288,11894293X,"Gstrein, Norbert",Männlich,1961,,Schriftsteller,Österreich
6289,118943014,"Weibel, Peter",Männlich,1944-03-05,2023-03-01,Künstler + Kurator <Museumskunde> + Kunstkritiker + Videokünstler + Installationskünstler + Hochschullehrer,Deutschland + Österreich
6290,118943286,"Ehrler, Hans Heinrich",Männlich,1872-07-07,1951-06-14,Schriftsteller + Redakteur + Lyriker,Deutschland
6291,118943766,"Büttner, Wolfgang",Unbekannt,1522,1596,Schriftsteller + Pfarrer,Deutschland
6292,118943774,"Kuh, Emil",Männlich,1828-12-13,1876-12-30,Schriftsteller + Literarhistoriker + Hochschullehrer + Liederdichter + Kritiker + Lyriker,Italien + Österreich + Deutschland
6293,11894472X,"Schumacher, Hans",Männlich,1910,1993,Schriftsteller,Schweiz
6294,118945408,"Weinsberg, Hermann von",Männlich,1518-01-03,1597-03-23,Chronist + Ratsherr + Rechtsanwalt,Deutschland
6295,118945505,"Windfuhr, Manfred",Männlich,1930,,Germanist,Deutschland
6296,118945661,"Allert-Wybranietz, Kristiane",Weiblich,1955-11-06,2017-02-18,Lyrikerin + Fotografin,Deutschland
