GND,author,title,year,state,ID_orig
118540238,von Goethe,Iphigenie auf Tauris,1787,Rheinland-Pfalz,2943
118540238,von Goethe,Lied der Parzen (In: Iphigenie auf Tauris),1787,Rheinland-Pfalz,2944
118540238,von Goethe,Natur und Kunst,1800,Rheinland-Pfalz,2948
118540238,von Goethe,Prometheus,1789,Rheinland-Pfalz,2946
118540238,von Goethe,Seefahrt,,Rheinland-Pfalz,2955
118540238,von Goethe,Torquato Tasso,1790,Rheinland-Pfalz,2947
118540238,von Goethe,Wahlverwandtschaften,1809,Rheinland-Pfalz,2951
118540238,von Goethe,Wanderers Nachtlied,1815,Rheinland-Pfalz,2952
118540238,von Goethe,Westöstlicher DIvan,1819,Rheinland-Pfalz,2953
118540238,von Goethe,Wilhelm Meisters Lehrjahre,1795,Rheinland-Pfalz,2954
