,GND,searchphrase,BDSL_hits_2000_all
470,103125973,Konrad Harder,0.0
471,103125981,Der Henneberger,0.0
472,1031266887,Karl Rosner,0.0
473,103127178,Rost,263.0
474,103127362X,Jonas Lüscher,36.0
475,103129170,Johann Heinrich Calisius,0.0
476,103129537,Nicolaus Rutze,0.0
477,103129642,Eberhard Schenkdenwin,0.0
478,103130276,Schweizer Anonymus,2.0
479,103130381,der Dörfer Siegfried,0.0
480,10313543X,Sylvester Wagner,0.0
481,103138773,von Haslau Konrad,2.0
482,103138897,Klaus Kranc,1.0
483,103145931,Ernst Theodor Johann Brückner,2.0
484,10314644X,Thomas Prischuch,1.0
485,103154620,Heinrich Österreicher,0.0
486,10315471X,Ludwig Hohenwang,0.0
487,103155945,Eulogius Kiburger,0.0
488,10315678X,Hans Schneider,88.0
489,103158820,Oberrheinischer Revolutionär,0.0
490,1031724303,Michael Eskin,50.0
491,1031770321,Oswald Marbach,2.0
492,1031833447,Christa Anita Brück,3.0
493,1031958738,Klaus H. Hilzinger,5.0
494,1031962417,Eberhard König,6.0
495,1032030526,William Ludwig Rosenberg,0.0
496,1032769955,Richard Perls,0.0
497,103348010X,Friedrich Bosse,7.0
498,1033575690,Joseph Martin Brandstetter,0.0
499,1033724394,Amalie Liebhaber,1.0
500,1034669966,Andreas Adam,1.0
501,103507429X,Helmut Maria Soik,0.0
502,1035288109,Maria Leitner,23.0
503,1035486911,Johann Christoph Beer,2.0
504,1035498197,Juan S. Guse,12.0
505,1035498367,Paul Gratzik,1.0
506,1035537850,Tilmann Köppe,59.0
507,1036126870,Didier Eribon,3.0
508,1036442357,Reinhard Paul Becker,0.0
509,103649662,Ėmilʹ V. Braginskij,0.0
510,1036505952,Christoph Gottehr Burghart,0.0
511,1036523853,Mark Chain,0.0
512,1036529568,Jeffrey J. Williams,0.0
513,1036705080,Patrick Roth,107.0
514,1036768686,Markus Herz,9.0
515,1036810283,Harald Gerlach,41.0
516,1036931862,Xiaoqiao Wu,23.0
517,1036966534,Yongyan Zheng,0.0
518,1037138295,Rosemarie Egger,0.0
519,1037209818,Friedel Thiekötter,0.0
520,1037420403,Wilhelm Jordan,2.0
521,1037425286,Lisa Mazzi,0.0
522,1037514440,Johann Wilhelm Petersen,3.0
523,1037515811,Jakob Ziegler,3.0
524,103752473X,Josua Stegmann,0.0
525,103752697X,Michael Schirmer,0.0
526,103752862X,Johann Adam Schertzer,0.0
527,1037528700,Georg Neumark,17.0
528,1037536320,Witwe  August Koberstein,0.0
529,1037610644,II.  Dirk Haak,0.0
530,1037611683,Johann Georg Ebeling,4.0
531,1037625269,David Friedländer,20.0
532,1037638441,Gottlieb Andreae,1.0
533,1037650859,Johann Christian Krüger,4.0
534,1037659775,Johann Michael Hamann,7.0
535,1037708571,Jakob Flach,2.0
536,103775414X,Hans Meisel,0.0
537,1037808231,Laura Freudenthaler,10.0
538,1037950801,Fred Reichwald,0.0
539,1038169879,Helen Gori-Nägeli,0.0
540,103851801,Hannes Wader,2.0
541,1038796415,Karl Zuchardt,0.0
542,103995633,Martin Grzimek,2.0
543,104001666,Gerhard Allroggen,2.0
544,104044977,Lorenz Leopold Haschka,1.0
545,104045698,Johannes Fabricius Montanus,0.0
546,104047186,Johann Ludwig Faber,0.0
547,104051663,Hieronymus Linck,1.0
548,104066563,Heinrich Wolff,15.0
549,104069201,Gottfried Immanuel Wenzel,1.0
550,104070404,Gräfin  Schwarzburg-Rudolstadt Aemilie Juliane,7.0
551,104074361,Christian August Heinrich Clodius,0.0
552,104077808,Johannes Sommer,7.0
553,104077816,Johannes Sommer,7.0
554,104084715,Jacobus Sackmann,0.0
555,104088907,Lamspring,2.0
556,104091061,Bernhard Rothmann,0.0
557,10409592X,Ludwig Rad,5.0
558,104096012,Friedrich Riedrer,3.0
559,104096047,Rubin,80.0
560,104101202,Ferdinand Adam von Pernauer,0.0
561,104104376,von Dorpat Stephan,1.0
562,104105100,Wilhelm Braune,35.0
563,104113561,Fürst  Anhalt-Zerbst Magnus,0.0
564,104115335,Johann Franck,10.0
565,104123524,Rudolf Haas,2.0
566,104124172,Martin Pollich,0.0
567,1041246439,Herbert Malecha,0.0
568,104125101,Jacob Hieronymus Lochner,1.0
569,104127406,Daniel Seiffart,0.0
